day,rob_count_0,rob_rebelled_0,trade_count_0,trade_accepted_0,0_obey_to,farm_count_0,rob_count_1,rob_rebelled_1,trade_count_1,trade_accepted_1,1_obey_to,farm_count_1,rob_count_2,rob_rebelled_2,trade_count_2,trade_accepted_2,2_obey_to,farm_count_2,rob_count_3,rob_rebelled_3,trade_count_3,trade_accepted_3,3_obey_to,farm_count_3,rob_count_4,rob_rebelled_4,trade_count_4,trade_accepted_4,4_obey_to,farm_count_4,rob_count_5,rob_rebelled_5,trade_count_5,trade_accepted_5,5_obey_to,farm_count_5,rob_count_6,rob_rebelled_6,trade_count_6,trade_accepted_6,6_obey_to,farm_count_6,rob_count_7,rob_rebelled_7,trade_count_7,trade_accepted_7,7_obey_to,farm_count_7,rob_count_8,rob_rebelled_8,trade_count_8,trade_accepted_8,8_obey_to,farm_count_8
1,1,0,0,0,-1,0,1,1,0,0,-1,0,1,1,0,0,0,0,1,1,0,0,-1,0,1,1,0,0,-1,0,1,1,0,0,-1,0,1,1,0,0,-1,0,1,1,0,0,-1,0,1,1,0,0,-1,0
2,1,0,0,0,3,1,2,1,0,0,-1,0,1,1,0,0,0,1,2,1,0,0,-1,0,1,1,0,0,1,1,2,2,0,0,-1,0,1,1,0,0,-1,1,2,2,0,0,-1,0,2,2,0,0,-1,0
3,1,0,0,0,3,2,3,2,0,0,-1,0,1,1,1,0,0,1,2,1,1,0,8,0,1,1,0,0,1,2,2,2,0,0,-1,1,1,1,1,0,-1,1,3,2,0,0,-1,0,3,2,0,0,-1,0
4,2,0,0,0,3,2,4,3,0,0,-1,0,1,1,1,0,0,2,2,1,1,0,8,1,1,1,0,0,1,3,2,2,1,0,0,1,1,1,1,0,-1,2,4,3,0,0,-1,0,3,2,0,0,-1,1
5,3,1,0,0,3,2,5,4,0,0,-1,0,1,1,1,0,0,3,2,1,1,0,8,2,1,1,1,1,1,3,2,2,1,0,0,2,2,2,1,0,-1,2,5,4,0,0,-1,0,4,3,0,0,-1,1
6,3,1,1,0,3,2,5,4,1,1,-1,0,1,1,1,0,0,4,2,1,2,0,8,2,1,1,1,1,1,4,2,2,2,1,0,2,2,2,2,1,-1,2,6,5,0,0,-1,0,4,3,0,0,-1,2
7,3,1,1,0,3,3,6,5,1,1,-1,0,1,1,1,0,0,5,3,2,2,0,8,2,1,1,1,1,1,5,2,2,2,1,0,3,3,3,2,1,-1,2,6,5,0,0,-1,1,4,3,0,0,-1,3
8,3,1,2,0,3,3,7,6,1,1,-1,0,1,1,1,0,0,6,3,2,2,0,8,3,2,2,1,1,1,5,2,2,2,1,0,4,4,4,2,1,-1,2,6,5,0,0,-1,2,4,3,1,1,-1,3
9,3,1,2,0,3,4,8,7,1,1,-1,0,1,1,2,0,0,6,4,3,2,0,8,4,2,2,1,1,1,6,2,2,2,1,0,5,4,4,3,2,-1,2,7,6,1,1,-1,2,5,4,1,1,-1,3
10,3,1,3,0,3,4,9,8,1,1,-1,0,2,2,2,0,0,6,4,3,2,0,8,5,2,2,2,2,1,6,2,2,3,2,0,5,4,4,3,2,-1,3,8,7,1,1,-1,2,5,4,2,1,-1,3
11,3,1,3,0,3,5,10,9,1,1,-1,0,2,2,2,0,0,7,4,3,2,0,8,6,2,2,2,2,1,7,3,3,3,2,0,5,4,4,3,2,-1,4,8,7,1,1,-1,3,5,4,2,1,-1,4
12,3,1,3,0,3,6,10,9,1,1,-1,1,2,2,2,0,0,8,4,3,2,0,8,7,2,2,2,2,1,8,3,3,3,2,0,6,4,4,3,2,-1,5,9,8,1,1,-1,3,5,4,3,2,-1,4
13,3,1,3,0,3,7,11,10,1,1,-1,1,2,2,2,0,0,9,4,3,3,1,8,7,2,2,2,2,1,9,3,3,4,3,0,6,5,5,3,2,-1,5,9,8,1,1,-1,4,5,4,4,3,-1,4
14,3,1,4,0,3,7,11,10,2,2,-1,1,2,2,2,0,0,10,4,3,3,1,8,8,2,2,2,2,1,10,3,3,4,3,0,7,5,5,4,2,-1,5,9,8,1,1,-1,5,6,5,4,3,-1,4
15,3,1,4,0,3,8,12,11,2,2,-1,1,2,2,2,0,0,11,4,3,3,1,8,9,2,2,3,2,1,10,3,3,4,3,0,8,5,5,4,2,-1,6,10,9,1,1,-1,5,7,6,4,3,-1,4
16,3,1,4,0,3,9,13,12,2,2,-1,1,3,3,2,0,0,11,5,4,3,1,8,10,2,2,3,2,1,12,3,3,6,3,0,8,5,5,5,2,-1,6,10,9,2,2,-1,5,7,6,4,3,-1,5
17,3,1,5,1,3,9,14,13,2,2,-1,1,3,3,2,0,0,12,5,4,3,1,8,11,2,2,3,2,1,13,3,3,6,3,0,9,6,6,5,2,-1,6,11,10,2,2,-1,5,8,7,4,3,-1,5
18,3,1,6,2,3,9,14,13,2,2,-1,2,3,3,2,0,0,13,5,4,3,1,8,12,2,2,4,3,1,14,3,3,6,3,0,10,6,6,5,2,-1,7,11,10,2,2,-1,6,8,7,5,3,-1,5
19,3,1,6,2,3,10,15,14,2,2,-1,3,3,3,2,0,0,14,5,4,3,1,8,14,2,2,4,3,1,16,3,3,8,3,0,10,7,7,5,2,-1,7,12,11,2,2,-1,6,9,8,5,3,-1,5
20,3,1,7,2,3,10,15,14,3,2,8,3,3,3,2,0,0,15,5,4,3,1,8,15,2,2,5,4,1,16,3,3,8,3,0,11,7,7,5,2,-1,8,12,11,2,2,-1,7,10,8,5,3,-1,5
21,3,1,7,2,3,11,15,14,3,2,8,4,3,3,2,0,0,16,5,4,3,1,8,16,2,2,5,4,1,17,3,3,8,3,0,12,8,8,5,2,-1,8,12,11,2,2,-1,8,10,8,5,3,-1,6
22,3,1,7,2,3,12,15,14,3,2,8,5,3,3,3,0,0,16,5,4,3,1,8,17,3,2,5,4,1,17,3,3,8,3,0,13,9,8,5,2,-1,8,12,11,3,3,-1,8,10,8,5,3,6,7
23,3,1,7,2,3,13,15,14,4,2,8,5,4,3,3,0,0,16,5,4,4,1,8,17,3,2,6,5,1,17,3,3,8,3,0,14,10,9,5,2,-1,8,12,11,4,3,-1,8,10,8,5,3,6,8
24,3,1,7,2,3,14,15,14,5,2,8,5,5,3,3,0,0,16,5,4,4,1,8,18,3,2,6,5,1,18,3,3,9,3,0,14,10,9,5,2,2,9,13,11,4,3,-1,9,10,8,5,3,6,9
25,3,1,7,2,3,15,15,14,6,2,8,5,5,3,3,0,0,17,6,4,4,1,8,18,4,2,6,5,1,18,3,3,10,3,0,14,10,9,5,2,2,10,13,11,4,3,-1,10,10,8,5,3,6,10
26,3,1,8,3,3,15,16,14,6,2,8,5,5,3,3,0,0,18,6,4,4,1,8,19,4,2,7,6,1,18,3,3,11,4,0,14,10,9,6,2,2,10,14,12,4,3,-1,10,10,8,5,3,6,11
27,3,1,9,3,3,15,16,14,6,2,8,6,5,3,3,0,0,19,6,4,5,1,8,19,4,2,8,7,1,18,3,3,11,4,0,15,10,9,7,2,2,10,15,12,4,3,-1,10,10,8,5,3,6,12
28,3,1,10,4,3,15,16,14,6,2,8,7,5,3,4,0,0,19,6,4,5,1,8,20,4,2,8,7,1,19,3,3,11,4,0,16,10,9,7,2,2,11,15,12,4,3,-1,11,10,8,6,3,6,12
29,3,1,10,4,3,16,16,14,6,2,8,8,5,3,4,0,0,20,6,4,6,1,8,20,4,2,8,7,1,20,4,3,11,4,0,16,10,9,7,2,2,12,16,12,4,3,-1,11,10,8,6,3,6,13
30,4,1,10,4,3,16,16,14,6,2,8,9,5,3,4,0,0,21,7,4,6,1,8,20,4,2,9,7,1,20,4,3,12,5,0,16,10,9,7,2,2,13,17,13,4,3,-1,11,10,8,6,3,6,14
31,5,1,10,4,3,16,16,14,7,2,8,9,5,3,4,0,0,22,7,4,6,1,8,21,4,2,10,8,1,20,5,3,12,5,0,16,10,9,7,2,2,14,18,13,4,3,-1,11,11,8,6,3,6,14
32,5,1,10,4,3,17,16,14,7,2,8,10,5,3,4,0,0,23,7,4,7,2,8,21,5,2,10,8,1,20,5,3,12,5,0,17,10,9,7,2,2,15,19,13,4,3,-1,11,11,8,6,3,6,15
33,5,1,11,4,3,17,16,14,7,2,8,11,5,3,4,0,0,24,8,4,7,2,8,21,5,2,10,8,1,21,5,3,12,5,0,18,10,9,7,2,2,16,19,13,4,3,-1,12,11,8,7,4,6,15
34,5,1,12,5,3,17,16,14,8,3,8,11,5,3,4,0,0,25,8,4,7,2,8,22,5,2,10,8,1,22,5,3,12,5,0,19,10,9,8,3,2,16,19,13,5,3,-1,12,11,8,7,4,6,16
35,5,1,13,6,3,17,16,14,8,3,8,12,5,3,4,0,0,26,8,4,8,2,8,22,6,2,10,8,1,22,5,3,13,6,0,19,10,9,8,3,2,17,20,13,5,3,-1,12,11,8,7,4,6,17
36,5,1,14,6,3,17,16,14,8,3,8,13,5,3,4,0,0,27,9,4,9,2,8,22,6,2,11,8,1,23,5,3,14,7,0,19,10,9,8,3,2,18,21,13,5,3,-1,12,11,8,7,4,6,18
37,5,1,14,6,3,18,16,14,9,3,8,14,5,3,4,0,0,29,9,4,9,2,8,24,6,2,11,8,1,24,5,3,14,7,0,20,10,9,8,3,2,19,22,14,5,3,-1,13,11,8,7,4,6,19
38,6,1,14,6,3,19,16,14,10,3,8,14,5,3,4,0,0,30,9,4,9,2,8,25,6,2,12,8,1,25,5,3,14,7,0,22,10,9,8,3,2,20,23,14,5,3,-1,13,11,8,8,5,6,19
39,6,1,14,6,3,20,16,14,10,3,8,16,5,3,4,0,0,31,9,4,9,2,8,26,6,2,12,8,1,26,5,3,14,7,0,23,11,9,8,3,2,20,23,14,6,4,-1,13,11,8,8,5,6,20
40,6,1,15,6,3,20,16,14,10,3,8,17,5,3,4,0,0,32,9,4,9,2,8,27,6,2,13,9,1,26,5,3,14,7,0,24,11,9,9,4,2,20,23,14,6,4,-1,14,11,8,8,5,6,21
